Company Name,Status,Ship Date,City,State,Zip,Shipping Service,Created Date,Weight,Item/Bottle Count,Zone
Ecom1,In Transit,2/3/2021,Chicago,IL,60657,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Philadephia,PA,19104,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11215,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10032,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11211,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Silver Spring,MD,20910,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11220,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20002,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Albertson,NY,11507,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10075,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Jackson,NJ,8527,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10035,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Bayonne,NJ,7002,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Long Island City,NY,11101,FEH,2/1/2021,6.5,1,
Ecom1,In Transit,2/3/2021,New York,NY,10025,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20002,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,South Salem,NY,10590,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10021,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Astoria,NY,11106,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20008,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Larchmont,NY,10538,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11213,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Silverspring,MD,20910,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10001,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20002,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Elmont,NY,11003,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/1/2021,Puyallup,WA,98374,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Garrison,NY,10524,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11211,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,West Hartford,CT,6119,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10010,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20007,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Montclair,NJ,7042,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Alexandria,VA,22314,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10028,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11204,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Armonk,NY,10504,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10128,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10010,FEH,2/1/2021,6.5,1,
Ecom1,Delivery Attempt,2/3/2021,Brooklyn,NY,11216,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Arlington,VA,22205,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Queens,NY,11101,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11234,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10035,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,West Hartford,CT,6119,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/1/2021,Denver,CO,80238,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10001,FXG,2/1/2021,6.5,1,
Ecom1,Delivery Attempt,2/3/2021,Washington,DC,20009,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Brooklyn,NY,11215,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10016,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20003,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,MONKTON,MD,21111,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20003,FXG,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10036,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,New York,NY,10034,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20036,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Washington,DC,20008,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Westport,CT,6880,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/1/2021,Seattle,WA,98115,FEH,2/1/2021,6.5,1,
Ecom1,In Transit,2/1/2021,Taos,NM,87571,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/1/2021,Denver,CO,80209,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Cottage Grove,MN,55016,FEH,2/1/2021,6.5,1,
Ecom1,Delivered,2/3/2021,Savage,MN,55378,FEH,2/1/2021,6.5,1,
Ecom1,In Transit,2/3/2021,Franklin,TN,37067,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/1/2021,Broomfield,CO,80021,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Fort Myers,FL,33908,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Concord,MA,1742,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Minneapolis,MN,55403,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,new york,NY,10013,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Winston Salem,NC,27106,FEH,2/1/2021,14,4,
Ecom1,Delivered,2/3/2021,Hummelstown,PA,17036,FEH,2/1/2021,10.5,3,
Ecom1,Delivered,2/3/2021,Alexandria,VA,22309,FEH,2/1/2021,20.2,6,
Ecom1,Delivered,2/3/2021,Long Island City,NY,11101,FEH,2/1/2021,14,4,
